storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
2mzBcnym3Yw,text,69.0,0.7013077735900879,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,70.0,0.796722412109375,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,71.0,0.8548583984375,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,72.0,0.8493028283119202,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,73.0,0.8343779444694519,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,74.0,0.842940092086792,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,75.0,0.8665131926536559,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,bottle,69.0,0.6784063577651978,OTHER,/m/04dr76w,,bottle,bottle,OTHER,,http://dbpedia.org/ontology/Company,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,bottle,70.0,0.7501712441444397,OTHER,/m/04dr76w,,bottle,bottle,OTHER,,http://dbpedia.org/ontology/Company,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,product,69.0,0.7237467765808105,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,product,70.0,0.7405894994735718,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,product,74.0,0.4545689225196838,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,product,75.0,0.4665692746639252,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
