storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
2mzBcnym3Yw,text,10.0,0.7890825867652893,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,11.0,0.7981857657432556,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,12.0,0.7811615467071533,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,13.0,0.7394360303878784,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,14.0,0.7412257790565491,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,15.0,0.7912281155586243,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,16.0,0.7333050370216371,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,17.0,0.7683223485946655,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,text,18.0,0.7740387320518494,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,advertising,10.0,0.516194224357605,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,11.0,0.5082080364227295,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,12.0,0.5288406610488892,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,13.0,0.4517363607883453,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,14.0,0.5265223979949951,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,15.0,0.497077465057373,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,16.0,0.42417362332344055,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,17.0,0.4687745273113251,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,advertising,18.0,0.42019471526145935,OTHER,/m/011s0,,advertising,advertising,OTHER,,,,,OTHER,OTHER,EVENT,OTHER,EVENT
2mzBcnym3Yw,public speaking,10.0,0.7538513541221619,person,/m/068k4,/m/01g317,public speaking,public speaking,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
2mzBcnym3Yw,public speaking,11.0,0.8138587474822998,person,/m/068k4,/m/01g317,public speaking,public speaking,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
2mzBcnym3Yw,public speaking,12.0,0.881377637386322,person,/m/068k4,/m/01g317,public speaking,public speaking,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
2mzBcnym3Yw,public speaking,13.0,0.8107069730758667,person,/m/068k4,/m/01g317,public speaking,public speaking,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
2mzBcnym3Yw,public speaking,15.0,0.6121638417243958,person,/m/068k4,/m/01g317,public speaking,public speaking,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
2mzBcnym3Yw,public speaking,16.0,0.4227995872497559,person,/m/068k4,/m/01g317,public speaking,public speaking,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
2mzBcnym3Yw,public speaking,17.0,0.4318991899490357,person,/m/068k4,/m/01g317,public speaking,public speaking,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
2mzBcnym3Yw,spokesperson,12.0,0.5938718318939209,person,/m/01xr66,/m/01g317,spokesperson,spokesperson,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,spokesperson,15.0,0.5697150826454163,person,/m/01xr66,/m/01g317,spokesperson,spokesperson,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,smile,17.0,0.4439444839954376,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,smile,18.0,0.4285915791988373,person,/m/019nj4,/m/01g317,smile,smile,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,brand,10.0,0.5307147502899171,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,11.0,0.5606545209884644,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,12.0,0.5325860381126404,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,13.0,0.4906136691570282,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,14.0,0.5018424987792969,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,15.0,0.5590633749961853,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,16.0,0.4760129451751709,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,17.0,0.519767701625824,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,brand,18.0,0.5218596458435059,OTHER,/m/01cd9,,brand,brand,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,photo caption,10.0,0.7268293499946594,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,11.0,0.660905659198761,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,12.0,0.6755380034446716,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,13.0,0.7662882804870605,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,14.0,0.6864460706710815,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,15.0,0.6036152839660645,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,16.0,0.6529668569564819,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,17.0,0.678410530090332,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,photo caption,18.0,0.7057231664657593,photography,/m/0b75wg4,/m/05wkw,photo caption,photo caption,OTHER,,http://dbpedia.org/ontology/RailwayLine,,,photography,photography,photography,photography,OTHER
2mzBcnym3Yw,conversation,10.0,0.5485315918922424,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,conversation,11.0,0.515779972076416,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,conversation,12.0,0.5626084208488464,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,conversation,13.0,0.5153940320014954,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,conversation,15.0,0.4267361760139465,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,conversation,16.0,0.4416605830192566,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,conversation,17.0,0.4980608820915222,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,conversation,18.0,0.4774071872234345,communication,/m/01h8n0,/m/01lhf,conversation,conversation,OTHER,,,,,communication,communication,EVENT,communication,EVENT
2mzBcnym3Yw,official,10.0,0.7491329908370972,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,11.0,0.7097828984260559,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,12.0,0.8277306556701659,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,13.0,0.8301984667778015,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,14.0,0.7879106402397156,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,15.0,0.8255489468574524,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,16.0,0.8249328136444092,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,17.0,0.8156037330627441,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,official,18.0,0.8064680695533752,person,/m/035y33,/m/01g317,official,official,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,10.0,0.6833283305168152,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,11.0,0.7332711815834045,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,12.0,0.7301268577575684,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,13.0,0.6864719390869141,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,14.0,0.8263813853263855,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,15.0,0.8490381836891174,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,16.0,0.7363967895507812,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,17.0,0.7653793096542358,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,professional,18.0,0.7437205910682678,person,/m/01qkbx,/m/01g317,professional,professional,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,employment,11.0,0.4004722237586975,OTHER,/m/01tqrk,,employment,employment,PERSON,,http://dbpedia.org/ontology/Person,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,employment,12.0,0.4118252694606781,OTHER,/m/01tqrk,,employment,employment,PERSON,,http://dbpedia.org/ontology/Person,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,employment,13.0,0.4001910984516144,OTHER,/m/01tqrk,,employment,employment,PERSON,,http://dbpedia.org/ontology/Person,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,diplomat,13.0,0.4270040690898895,person,/m/080ntlp,/m/01g317,diplomat,diplomat,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,diplomat,14.0,0.5122235417366028,person,/m/080ntlp,/m/01g317,diplomat,diplomat,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,diplomat,15.0,0.5261601805686951,person,/m/080ntlp,/m/01g317,diplomat,diplomat,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,diplomat,16.0,0.5169537663459778,person,/m/080ntlp,/m/01g317,diplomat,diplomat,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,diplomat,17.0,0.4369843304157257,person,/m/080ntlp,/m/01g317,diplomat,diplomat,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,diplomat,18.0,0.4314366281032562,person,/m/080ntlp,/m/01g317,diplomat,diplomat,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,10.0,0.5658450126647949,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,11.0,0.5391652584075928,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,12.0,0.571327269077301,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,13.0,0.6061505079269409,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,14.0,0.5774081349372864,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,15.0,0.4690657258033752,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,16.0,0.5910396575927734,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,17.0,0.4888269007205963,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,job,18.0,0.4515323638916016,person,/m/04115t2,/m/01g317,job,job,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,suit,10.0,0.5138199925422668,clothing,/m/01xyhv,/m/09j2d,suit,suit,OTHER,,,,PERSON,clothing,clothing,clothing,clothing,OTHER
2mzBcnym3Yw,suit,11.0,0.621027946472168,clothing,/m/01xyhv,/m/09j2d,suit,suit,OTHER,,,,PERSON,clothing,clothing,clothing,clothing,OTHER
2mzBcnym3Yw,suit,12.0,0.5004191994667053,clothing,/m/01xyhv,/m/09j2d,suit,suit,OTHER,,,,PERSON,clothing,clothing,clothing,clothing,OTHER
2mzBcnym3Yw,suit,13.0,0.4717372357845306,clothing,/m/01xyhv,/m/09j2d,suit,suit,OTHER,,,,PERSON,clothing,clothing,clothing,clothing,OTHER
2mzBcnym3Yw,suit,15.0,0.5447001457214355,clothing,/m/01xyhv,/m/09j2d,suit,suit,OTHER,,,,PERSON,clothing,clothing,clothing,clothing,OTHER
2mzBcnym3Yw,suit,17.0,0.4479263424873352,clothing,/m/01xyhv,/m/09j2d,suit,suit,OTHER,,,,PERSON,clothing,clothing,clothing,clothing,OTHER
2mzBcnym3Yw,font,10.0,0.5038201808929443,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
2mzBcnym3Yw,font,11.0,0.5117059350013733,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
2mzBcnym3Yw,expert,10.0,0.4952175319194794,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,11.0,0.4932850599288941,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,12.0,0.4897739887237549,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,13.0,0.470037579536438,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,14.0,0.4780409634113312,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,15.0,0.4804735481739044,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,16.0,0.4740863740444183,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,17.0,0.4701829552650452,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,expert,18.0,0.4497602880001068,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,10.0,0.6132648587226868,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,11.0,0.6116237640380859,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,12.0,0.6320269107818604,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,13.0,0.5835906267166138,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,15.0,0.5265596508979797,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,16.0,0.466699093580246,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,17.0,0.502480149269104,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speaker,18.0,0.4635740518569946,person,/m/02079p,/m/01g317,speaker,speaker,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,public relations,10.0,0.7186987996101379,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,11.0,0.7346521019935608,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,12.0,0.7289066314697266,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,13.0,0.7080569863319397,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,14.0,0.641919732093811,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,15.0,0.6881737112998962,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,16.0,0.6781792044639587,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,17.0,0.6917955875396729,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,public relations,18.0,0.6872422099113464,person,/m/062zr,/m/01g317,public relation,public relation,OTHER,,http://dbpedia.org/ontology/Company,,,person,ORGANIZATION,person,person,ORGANIZATION
2mzBcnym3Yw,investor,10.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,11.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,12.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,13.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,14.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,15.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,16.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,17.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,investor,18.0,0.4622620940208435,person,/m/025sppp,/m/01g317,investor,investor,OTHER,,,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,speech,10.0,0.8308103084564209,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,11.0,0.8396557569503784,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,12.0,0.8802129626274109,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,13.0,0.8672224283218384,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,14.0,0.6166776418685913,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,15.0,0.7992093563079834,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,16.0,0.679323673248291,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,17.0,0.6918856501579285,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,speech,18.0,0.6796978712081909,person,/m/09x0r,/m/01g317,speech,speech,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,orator,10.0,0.5808608531951904,person,/m/0hpjt,/m/01g317,orator,orator,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,orator,11.0,0.6690407395362854,person,/m/0hpjt,/m/01g317,orator,orator,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,orator,12.0,0.7138379216194153,person,/m/0hpjt,/m/01g317,orator,orator,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,orator,13.0,0.6778048872947693,person,/m/0hpjt,/m/01g317,orator,orator,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,orator,15.0,0.4884600639343262,person,/m/0hpjt,/m/01g317,orator,orator,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
2mzBcnym3Yw,facial expression,15.0,0.9338630437850952,person,/m/01k74n,/m/01g317,facial expression,facial expression,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,facial expression,17.0,0.9356812834739684,person,/m/01k74n,/m/01g317,facial expression,facial expression,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,facial expression,18.0,0.9337316155433656,person,/m/01k74n,/m/01g317,facial expression,facial expression,OTHER,,,,,person,person,person,person,OTHER
2mzBcnym3Yw,profession,10.0,0.6002852916717529,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,11.0,0.6554538011550903,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,12.0,0.6041207313537598,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,13.0,0.5498949289321899,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,14.0,0.8104984760284424,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,15.0,0.8239226937294006,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,16.0,0.5859732031822205,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,17.0,0.6123548746109009,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,profession,18.0,0.6677315831184387,person,/m/063km,/m/01g317,profession,profession,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
2mzBcnym3Yw,news,10.0,0.7554305195808411,OTHER,/m/05jhg,,news,news,OTHER,,http://dbpedia.org/ontology/Company,,,OTHER,OTHER,OTHER,OTHER,OTHER
2mzBcnym3Yw,news,11.0,0.7480912804603577,OTHER,/m/05jhg,,news,news,OTHER,,http://dbpedia.org/ontology/Company,,,OTHER,OTHER,OTHER,OTHER,OTHER
