storageLink,label,time_offset,confidence,type,label_entity_id,type_id,label_lemma,label_lemma_lower,dbpedia_type,wikidata_type,all_dbpedia_types,all_wikidata_types,WordNet Type,type_v1,type_v2,type_v3,type_v4,type_v5
H-8eUQdBxUQ,communication,42.0,0.6571846008300781,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,communication,43.0,0.6740239262580872,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,communication,44.0,0.6665349006652832,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,communication,45.0,0.6559882760047913,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,communication,46.0,0.5820826888084412,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,communication,47.0,0.5863097310066223,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,communication,48.0,0.5728011727333069,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,communication,49.0,0.5695495009422302,weak entity,/m/01lhf,/m/0pccj,communication,communication,OTHER,,http://dbpedia.org/ontology/Band,,,weak entity,weak entity,EVENT,weak entity,EVENT
H-8eUQdBxUQ,world,50.0,0.4835453033447266,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,world,52.0,0.418128103017807,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,world,81.0,0.4218096435070038,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,world,89.0,0.4612953960895538,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,world,106.0,0.4968277215957642,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,world,118.0,0.4088668823242188,OTHER,/m/09nm_,,world,world,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,facial hair,3.0,0.6473297476768494,hair,/m/0ds5b,/m/03q69,facial hair,facial hair,OTHER,,http://dbpedia.org/ontology/Food,,,hair,OTHER,hair,hair,OTHER
H-8eUQdBxUQ,text,3.0,0.6423236727714539,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,5.0,0.6719827651977539,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,16.0,0.8947091102600098,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,17.0,0.9050801992416382,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,18.0,0.930587649345398,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,19.0,0.7375812530517578,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,20.0,0.5969023704528809,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,21.0,0.62925785779953,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,22.0,0.6157716512680054,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,23.0,0.6313271522521973,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,39.0,0.6806477904319763,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,42.0,0.6897997856140137,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,43.0,0.6499354243278503,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,44.0,0.6477680206298828,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,45.0,0.6533445119857788,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,46.0,0.6450799703598022,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,47.0,0.6304450631141663,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,48.0,0.620354950428009,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,49.0,0.6282190680503845,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,67.0,0.7599503993988037,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,68.0,0.7545538544654846,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,69.0,0.7261714935302734,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,71.0,0.6821832060813904,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,72.0,0.6638327836990356,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,97.0,0.7029152512550354,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,98.0,0.7074242234230042,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,103.0,0.8022171258926392,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,104.0,0.7981134653091431,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,text,105.0,0.6403775811195374,OTHER,/m/07s6nbt,,text,text,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,motorsport,65.0,0.4865390062332153,sports,/m/0410tth,/m/06ntj,motorsport,motorsport,OTHER,,http://dbpedia.org/ontology/Band,,,sports,sports,EVENT,sports,EVENT
H-8eUQdBxUQ,endurance racing motorsport,65.0,0.4597439169883728,racing,/m/033s60,/m/0dfbw,endurance race motorsport,endurance race motorsport,OTHER,,,,,racing,racing,EVENT,racing,EVENT
H-8eUQdBxUQ,product,10.0,0.5320402979850769,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,11.0,0.5621737837791443,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,12.0,0.5149381756782532,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,16.0,0.5040447115898132,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,17.0,0.4748774170875549,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,18.0,0.5806755423545837,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,19.0,0.4111932218074799,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,37.0,0.7593260407447815,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,55.0,0.4005583226680756,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,60.0,0.420225203037262,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,65.0,0.5952692031860352,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,66.0,0.7111908197402954,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,82.0,0.5507233738899231,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,83.0,0.5627382397651672,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,85.0,0.5336177349090576,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,86.0,0.6349219679832458,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,87.0,0.5285885930061339,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,89.0,0.5051408410072327,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,92.0,0.4889584183692932,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,product,106.0,0.5212447047233582,OTHER,/m/01jwgf,,product,product,OTHER,,,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,demonstration,108.0,0.4322955012321472,education,/m/026yq0z,/m/02jfc,demonstration,demonstration,OTHER,,,,,education,education,education,education,OTHER
H-8eUQdBxUQ,demonstration,109.0,0.4937706291675568,education,/m/026yq0z,/m/02jfc,demonstration,demonstration,OTHER,,,,,education,education,education,education,OTHER
H-8eUQdBxUQ,deep frying,102.0,0.4167528748512268,cooking,/m/0dxjn,/m/01mtb,deep frying,deep frying,OTHER,,http://dbpedia.org/ontology/Software,,,cooking,PERSON,cooking,cooking,PERSON
H-8eUQdBxUQ,product design,37.0,0.6439740657806396,person,/m/03y18t,/m/01g317,product design,product design,OTHER,,http://dbpedia.org/ontology/Election,,,person,EVENT,EVENT,person,EVENT
H-8eUQdBxUQ,karate,80.0,0.5059881210327148,martial arts,/m/048dz,/m/04xsv,karate,karate,PERSON,,http://dbpedia.org/ontology/Person,,,martial arts,martial arts,EVENT,martial arts,EVENT
H-8eUQdBxUQ,religious institute,23.0,0.5210713148117065,building,/m/0h64tv6,/m/0cgh4,religious institute,religious institute,OTHER,,,,,LOCATION,building,building,building,LOCATION
H-8eUQdBxUQ,religious institute,71.0,0.4640344977378845,building,/m/0h64tv6,/m/0cgh4,religious institute,religious institute,OTHER,,,,,LOCATION,building,building,building,LOCATION
H-8eUQdBxUQ,religious institute,72.0,0.5354167819023132,building,/m/0h64tv6,/m/0cgh4,religious institute,religious institute,OTHER,,,,,LOCATION,building,building,building,LOCATION
H-8eUQdBxUQ,patriarch,74.0,0.4165572822093964,person,/m/017qzd,/m/01g317,patriarch,patriarch,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,patriarch,76.0,0.4080356657505035,person,/m/017qzd,/m/01g317,patriarch,patriarch,PERSON,,http://dbpedia.org/ontology/Person,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,4.0,0.4615626335144043,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,5.0,0.4760479927062988,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,6.0,0.4119526147842407,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,7.0,0.44559478759765625,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,8.0,0.4509462416172028,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,9.0,0.4500771164894104,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,10.0,0.4269551336765289,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,11.0,0.41623228788375854,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,19.0,0.4881840944290161,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,20.0,0.4086037278175354,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,21.0,0.4315124452114105,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,38.0,0.4746246933937073,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,79.0,0.4441141188144684,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,80.0,0.4157413244247437,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,81.0,0.4628910720348358,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,82.0,0.43080127239227295,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,83.0,0.4058472216129303,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,84.0,0.4419023394584656,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,85.0,0.4384514689445496,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,87.0,0.4133677482604981,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,expert,104.0,0.44665673375129705,person,/m/02pkl,/m/01g317,expert,expert,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,cheek,3.0,0.9162097573280334,OTHER,/m/037p5b,,cheek,cheek,OTHER,,http://dbpedia.org/ontology/AnatomicalStructure,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,competition,32.0,0.42084655165672297,OTHER,/m/018tl7,,competition,competition,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"EVENT, PERSON",OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,competition,33.0,0.4177953898906708,OTHER,/m/018tl7,,competition,competition,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"EVENT, PERSON",OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,competition,66.0,0.40603727102279663,OTHER,/m/018tl7,,competition,competition,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"EVENT, PERSON",OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,competition,89.0,0.6166056394577026,OTHER,/m/018tl7,,competition,competition,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"EVENT, PERSON",OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,competition,106.0,0.5001100301742554,OTHER,/m/018tl7,,competition,competition,ORGANIZATION,,http://dbpedia.org/ontology/Organisation,,"EVENT, PERSON",OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,font,16.0,0.5441343188285828,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
H-8eUQdBxUQ,font,17.0,0.579277753829956,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
H-8eUQdBxUQ,font,18.0,0.6411444544792175,software,/m/03gq5hm,/m/01mf0,font,font,OTHER,,,,,software,software,software,software,OTHER
H-8eUQdBxUQ,sport utility vehicle,57.0,0.6467491984367371,car,/m/0ctrp,/m/0k4j,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,,car,car,car,car,OTHER
H-8eUQdBxUQ,sport utility vehicle,58.0,0.8447102904319763,car,/m/0ctrp,/m/0k4j,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,,car,car,car,car,OTHER
H-8eUQdBxUQ,sport utility vehicle,59.0,0.7767511010169983,car,/m/0ctrp,/m/0k4j,sport utility vehicle,sport utility vehicle,OTHER,,http://dbpedia.org/ontology/MeanOfTransportation,,,car,car,car,car,OTHER
H-8eUQdBxUQ,scale model,58.0,0.6034435033798218,OTHER,/m/01rh7y,,scale model,scale model,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,ulama,6.0,0.5414630174636841,person,/m/0161df,/m/01g317,ulama,ulama,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
H-8eUQdBxUQ,ulama,19.0,0.5542295575141907,person,/m/0161df,/m/01g317,ulama,ulama,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
H-8eUQdBxUQ,ulama,20.0,0.5459608435630798,person,/m/0161df,/m/01g317,ulama,ulama,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
H-8eUQdBxUQ,ulama,21.0,0.4055864810943604,person,/m/0161df,/m/01g317,ulama,ulama,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
H-8eUQdBxUQ,ulama,105.0,0.7872240543365479,person,/m/0161df,/m/01g317,ulama,ulama,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
H-8eUQdBxUQ,ulama,106.0,0.6183608770370483,person,/m/0161df,/m/01g317,ulama,ulama,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
H-8eUQdBxUQ,ulama,110.0,0.4863507449626922,person,/m/0161df,/m/01g317,ulama,ulama,OTHER,,,,ORGANIZATION,person,person,person,person,OTHER
H-8eUQdBxUQ,glass,39.0,0.4670785367488861,material,/m/039jq,/m/01l0y0,glass,glass,OTHER,,,,,material,material,material,material,OTHER
H-8eUQdBxUQ,glass,59.0,0.4302213191986084,material,/m/039jq,/m/01l0y0,glass,glass,OTHER,,,,,material,material,material,material,OTHER
H-8eUQdBxUQ,glass,60.0,0.4948567450046539,material,/m/039jq,/m/01l0y0,glass,glass,OTHER,,,,,material,material,material,material,OTHER
H-8eUQdBxUQ,energy,43.0,0.43094632029533386,OTHER,/m/02mm_,,energy,energy,OTHER,,http://dbpedia.org/ontology/Building,,ORGANIZATION,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,salaryman,90.0,0.441157341003418,person,/m/02fd6j,/m/01g317,salaryman,salaryman,OTHER,,,,,person,person,person,person,OTHER
H-8eUQdBxUQ,salaryman,91.0,0.4521217048168182,person,/m/02fd6j,/m/01g317,salaryman,salaryman,OTHER,,,,,person,person,person,person,OTHER
H-8eUQdBxUQ,salaryman,92.0,0.465379148721695,person,/m/02fd6j,/m/01g317,salaryman,salaryman,OTHER,,,,,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,13.0,0.4726975858211517,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,14.0,0.4228737950325012,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,15.0,0.43461334705352783,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,23.0,0.5437151789665222,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,34.0,0.5435883402824402,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,35.0,0.568390965461731,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,36.0,0.5789152979850769,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,52.0,0.5586521625518799,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,53.0,0.6670505404472351,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,54.0,0.5634002685546875,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,56.0,0.6039243936538696,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,70.0,0.4360893964767456,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,71.0,0.4382306337356568,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,72.0,0.4274275302886963,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,73.0,0.4022160470485687,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,74.0,0.5339385867118835,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,75.0,0.596055269241333,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,76.0,0.6129114627838135,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,77.0,0.6780228018760681,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,78.0,0.5719475150108337,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,88.0,0.5316283106803894,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,108.0,0.4781786501407623,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,110.0,0.4969649612903595,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,112.0,0.5281397700309753,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,113.0,0.5491518974304199,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,114.0,0.6009673476219177,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,115.0,0.6582692861557007,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,116.0,0.5834325551986694,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,nuncio,117.0,0.6534470319747925,person,/m/025s5lg,/m/01g317,nuncio,nuncio,OTHER,,,,PERSON,person,person,person,person,OTHER
H-8eUQdBxUQ,fun,0.0,0.7021270990371704,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,fun,1.0,0.7189319133758545,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,fun,12.0,0.4961801171302795,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,fun,62.0,0.4018585979938507,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
H-8eUQdBxUQ,fun,81.0,0.5391194224357605,OTHER,/m/0ds99lh,,fun,fun,OTHER,,,,,OTHER,OTHER,OTHER,OTHER,OTHER
